scenario,d,rho,seed,detector,precision,recall,f1,auc,latency_ns
heavy_tail,10,0.75,19,three_sigma,0.179104,0.116129,0.140900,0.511609,1409.1
heavy_tail,10,0.75,20,stream,0.582707,0.425824,0.492063,0.819947,703.8
heavy_tail,10,0.75,20,adaptive_0.85,0.497396,0.524725,0.510695,0.819947,1394.3
heavy_tail,10,0.75,20,offline,0.592593,0.571429,0.581818,0.869465,0.0
heavy_tail,10,0.75,20,three_sigma,0.162437,0.087912,0.114082,0.503554,272.8
heavy_tail,10,0.75,21,stream,0.578723,0.391931,0.467354,0.825262,890.6
heavy_tail,10,0.75,21,adaptive_0.85,0.479899,0.550432,0.512752,0.825262,794.9
heavy_tail,10,0.75,21,offline,0.602362,0.440922,0.509151,0.837620,0.0
heavy_tail,10,0.75,21,three_sigma,0.091371,0.051873,0.066176,0.523802,0.0
heavy_tail,10,0.75,22,stream,0.560870,0.378299,0.451839,0.782865,715.0
heavy_tail,10,0.75,22,adaptive_0.85,0.476744,0.480938,0.478832,0.782865,955.6
heavy_tail,10,0.75,22,offline,0.562500,0.475073,0.515103,0.817363,0.0
heavy_tail,10,0.75,22,three_sigma,0.157635,0.093842,0.117647,0.499206,252.8
heavy_tail,10,0.75,23,stream,0.533040,0.360119,0.429840,0.782489,514.0
heavy_tail,10,0.75,23,adaptive_0.85,0.477204,0.467262,0.472180,0.782489,1115.3
heavy_tail,10,0.75,23,offline,0.575758,0.508929,0.540284,0.837188,234.0
heavy_tail,10,0.75,23,three_sigma,0.166667,0.092262,0.118774,0.517677,288.2
heavy_tail,10,0.75,24,stream,0.534188,0.383436,0.446429,0.801977,652.9
heavy_tail,10,0.75,24,adaptive_0.85,0.518116,0.438650,0.475083,0.801977,1011.7
heavy_tail,10,0.75,24,offline,0.571885,0.549080,0.560250,0.837053,0.0
heavy_tail,10,0.75,24,three_sigma,0.123711,0.073620,0.092308,0.508634,0.0
heavy_tail,10,0.75,25,stream,0.585153,0.406061,0.479428,0.801941,471.8
heavy_tail,10,0.75,25,adaptive_0.85,0.497024,0.506061,0.501502,0.801941,1204.0
heavy_tail,10,0.75,25,offline,0.609319,0.515152,0.558292,0.841392,0.0
heavy_tail,10,0.75,25,three_sigma,0.109948,0.063636,0.080614,0.500015,242.0
heavy_tail,10,0.75,26,stream,0.502283,0.353698,0.415094,0.783082,915.6
heavy_tail,10,0.75,26,adaptive_0.85,0.447020,0.434084,0.440457,0.783082,854.3
heavy_tail,10,0.75,26,offline,0.525000,0.540193,0.532488,0.838244,0.0
heavy_tail,10,0.75,26,three_sigma,0.120000,0.086817,0.100746,0.496316,328.3
heavy_tail,10,0.75,27,stream,0.521277,0.285714,0.369115,0.771893,663.5
heavy_tail,10,0.75,27,adaptive_0.85,0.464832,0.443149,0.453731,0.771893,733.5
heavy_tail,10,0.75,27,offline,0.561462,0.492711,0.524845,0.831395,189.5
heavy_tail,10,0.75,27,three_sigma,0.154696,0.081633,0.106870,0.492572,229.6
heavy_tail,10,0.75,28,stream,0.554113,0.398754,0.463768,0.790405,1667.8
heavy_tail,10,0.75,28,adaptive_0.85,0.464183,0.504673,0.483582,0.790405,993.4
heavy_tail,10,0.75,28,offline,0.560976,0.573209,0.567026,0.835614,296.4
heavy_tail,10,0.75,28,three_sigma,0.134328,0.084112,0.103448,0.478688,0.0
heavy_tail,10,0.75,29,stream,0.519608,0.321212,0.397004,0.803991,509.6
heavy_tail,10,0.75,29,adaptive_0.85,0.477341,0.478788,0.478064,0.803991,1033.4
heavy_tail,10,0.75,29,offline,0.561538,0.442424,0.494915,0.840173,0.0
heavy_tail,10,0.75,29,three_sigma,0.168478,0.093939,0.120623,0.502536,0.0
